signature_method,classifier,n_features_mean,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,features_count,features
FDR (p < 0.1)_t40,RandomForest,29.525,0.7387660256410257,0.10303260308066328,0.6965150892279375,0.09614147578474903,0.6183944121716365,0.11197406733134688,0.6652173913043479,0.10041751907216288,0.6501169663669664,0.13847262144068537,0.6100000000000001,0.14641003188271437,0.7102564102564103,0.15601690117964623,11,"Bcells CD27posIgDneg_total, CD3pos_total, CD4 Tconv_total, Tconv naive_total, CD3neg_total, CD14mono_total, CD8 RO CD56_CD3, CD8 RO DR_CD3, CD16mono_myeloid, CD16mono_CD3neg, Treg memory_CD4"
FDR (p < 0.1)_t50,RandomForest,20.825,0.7250240384615385,0.10366078260279861,0.6800599278607043,0.09285803828317285,0.6272581848424827,0.1087461983429235,0.667490118577075,0.09997869663976168,0.6440424852924853,0.12172699300386017,0.6275000000000001,0.1377241762289712,0.7003205128205129,0.14525623472028104,5,"Bcells CD27posIgDneg_total, CD4 Tconv_total, CD8 RO CD56_CD3, CD8 RO DR_CD3, CD16mono_myeloid"
RFE (RandomForest)_t50,XGBoost,121.05,0.717900641025641,0.10480151082467293,0.6827921312541088,0.09376673530199509,0.6062875646063154,0.1148186570622543,0.6539525691699605,0.0946119733472501,0.6257471694971695,0.11966773590804469,0.6025,0.1440930966869007,0.6963141025641025,0.128694721802993,44,"Bcells CD27posIgDneg_total, Tconv naive_Tconv, CD27IgD_Bcells, CD3pos_total, CD8 RO CCR5_total, CD16+mono_total, CD8 RO DR_CD8, CD16mono_CD3neg, CD16mono_myeloid, Tconv memCCR4_total, Tconv memKi67_total, Tconv memTIGIT_total, CD8 RO DR_total, Tconv memCCR5_CD3, CD8 RA naive_CD3, CD8 RO CCR5_CD3, CD8 RO CD56_CD3, CD8 RO DR_CD3, Tconv memCCR5_Tconv, Tconv memKi67_Tconv, Tconv memCD56_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD8 RO CCR5_CD8, CCR5_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, TIGIT_CD8RO, Bcells_CD3neg, Bcells memory_CD3neg, CD14mono_myeloid, nonTnonB_CD3neg, Tconv memDR_total, Bcells Ki67_total, Treg memory_CD3, CD4 Treg_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memDR_Tconv, Tconv memTIGIT_Tconv, Tconv memDR_mem, NKCD56hi_nonTnonB, memory_Bcells"
RF_Importance_t40,XGBoost,64.25,0.7162179487179487,0.11024199866059615,0.6869918784453419,0.10473046055872345,0.6350517318639541,0.14017278261172061,0.6731225296442689,0.11657441989307528,0.6430497974247975,0.14972078664051597,0.645,0.17089507952287045,0.6963141025641025,0.14571204072248337,69,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memPD1_total, Tconv naive_total, CD4 Treg_total, CD8pos_total, CD8 RA naive_total, CD8 RO CCR5_total, CD3neg_total, nonTnonB_total, CD16+mono_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Tconv memCD27_CD3, CD4 Treg _CD3, Treg naive_CD3, Treg memory_CD3, CD8 RO CD56_CD3, Treg naive_CD4, Tconv memintB7_Tconv, Tconv memCCR6_mem, Tconv memCXCR3_mem, nonTnonB_CD3neg, CD14+16+mono_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NKCD16_NK, NK Ki67_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, memory_Bcells, naive_Bcells, Tconv memCCR5_total, CD3hi_total, Tconv memCCR6_CD3, Tconv memDR_CD3, Tconv naive_CD3, CD8pos_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD4 Treg_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR6_Tconv, Tconv memCXCR3_Tconv, Tconv naive_Tconv, intB7_CD8RO, Bcells_CD3neg, Ki67_Bcells, Bcells_total, Bcells memory_total, Bcells naive_total, Tconv mem_CD3, CD3hi_CD3, CD8 ncytotox RO CCR4_CD8ntox, Bcells Ki67_total, CD8  RO Ki67_CD3, Tconv memDR_Tconv, Tconv memDR_mem, Ki67_CD8RO, Tconv memCD27_mem, Tconv memTIGIT_mem, CD8 RO CD56_CD8"
RF_Importance_t60,XGBoost,26.175,0.7150160256410256,0.09723931338238667,0.6847880433661999,0.09919935481253626,0.6075257437313737,0.1194481432862765,0.6518774703557312,0.09576897727841867,0.6207743645243645,0.12719336389031438,0.61,0.14987174003640066,0.6870192307692309,0.12956126518616276,30,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv naive_total, CD3neg_total, myeloid_total, CD14mono_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Tconv mem_CD3, Tconv memDR_CD3, Tconv naive_CD3, CD8 RO DR_CD3, CD8 RO PD1_CD3, CD4 Treg_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCD27_Tconv, Tconv memDR_Tconv, Tconv memKi67_Tconv, Tconv naive_Tconv, Tconv memDR_mem, Bcells memory_CD3neg, CD16mono_myeloid, CD27IgD_Bcells, Tconv memCCR4_total, CD3hi_total, nonTnonB_total, DR_CD8RO, Tconv memTIGIT_total"
RF_Importance_t50,RandomForest,40.8,0.7142948717948718,0.09188238113725528,0.6682338149788808,0.08154304856307862,0.593533411145472,0.12356736891972672,0.6564229249011857,0.09272464308711169,0.6369977938727939,0.11668504601628368,0.575,0.15811388300841897,0.723397435897436,0.13106242351014627,45,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memPD1_total, Tconv naive_total, CD3hi_total, CD8 RO DR_total, NK Ki67_total, Bcells CD27posIgDneg_total, Bcells memory_total, CD4 Tconv_CD3, Tconv naive_CD3, Treg naive_CD3, CD4neg_CD3, CD8 RA_CD3, CD8 RO DR_CD3, CD8  RO Ki67_CD3, CD8 RO PD1_CD3, Treg memory_CD4, Tconv mem_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memintB7_Tconv, Tconv naive_Tconv, CD8 RO DR_CD8, DR_CD8RO, CD16mono_CD3neg, Bcells_CD3neg, Bcells memory_CD3neg, CD14mono_myeloid, CD27IgD_Bcells, Tconv memDR_CD3, CD4 Treg_CD4, Tconv memDR_Tconv, Tconv memDR_mem, Tconv memTIGIT_mem, CCR5_CD8RO, CD16mono_myeloid, CD4 Treg _CD3, Treg memory_CD3, CD8 RO TIGIT_CD3, Tconv memCCR6_Tconv, Tconv memCXCR3_Tconv, nonTnonB_CD3neg"
RFE (RandomForest)_t60,XGBoost,90.325,0.7138141025641026,0.10009709185168411,0.6839874271755076,0.09496242552186318,0.6207129483788523,0.10830299984656332,0.6641304347826087,0.09511253396294812,0.638896312021312,0.12564626781237576,0.6174999999999999,0.1375378735718517,0.7024038461538462,0.12669132159497315,20,"Bcells CD27posIgDneg_total, CD27IgD_Bcells, CD8 RO CCR5_total, CD16+mono_total, CD8 RO DR_CD8, CD16mono_CD3neg, CD16mono_myeloid, Tconv memKi67_total, CD8 RO DR_total, CD8 RA naive_CD3, CD8 RO CCR5_CD3, CD8 RO CD56_CD3, CD8 RO DR_CD3, CCR5_CD8RO, DR_CD8RO, TIGIT_CD8RO, Bcells_CD3neg, Bcells memory_CD3neg, Treg memory_CD4, Tconv memDR_mem"
FDR (p < 0.05)_t40,RandomForest,18.775,0.7122115384615385,0.09959743711527193,0.6685739455015602,0.1000912414287867,0.6146829878890048,0.10688269196748816,0.6617094861660079,0.08734594006371044,0.6441699966699967,0.12115296805649915,0.6125,0.14176090379986242,0.7022435897435898,0.14020854376860867,2,"Bcells CD27posIgDneg_total, CD27IgD_Bcells"
RFE (RandomForest)_t40,XGBoost,145.4,0.7104326923076922,0.10435999482375556,0.6843134207553712,0.09631296718555546,0.6039452867860964,0.12077570945421856,0.6561264822134387,0.09463970181770728,0.6309663253413254,0.13109585033265939,0.595,0.15012815038646662,0.7060897435897436,0.1286772208735194,84,"Bcells CD27posIgDneg_total, Tconv memCD56_CD3, Tconv naive_CD3, Tconv naive_Tconv, CD27IgD_Bcells, CD3pos_total, Tconv memCD56_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD16+mono_total, CD8 RO DR_CD8, CD16mono_CD3neg, CD16mono_myeloid, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memKi67_total, Tconv memTIGIT_total, CD8pos_total, CD8 RO CD56_total, CD8 RO DR_total, nonTnonB_total, Tconv memCCR5_CD3, CD4neg_CD3, CD8 RA naive_CD3, CD8 RO CCR5_CD3, CD8 RO CD56_CD3, CD8 RO DR_CD3, CD8  RO Ki67_CD3, Tconv memCCR5_Tconv, Tconv memCD27_Tconv, Tconv memKi67_Tconv, Tconv memCCR5_mem, Tconv memCD56_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD8 RO CCR5_CD8, CD8 RO PD1_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, TIGIT_CD8RO, Bcells_CD3neg, Bcells memory_CD3neg, CD14mono_myeloid, CD27negIgDneg_Bcells, CD14mono_total, nonTnonB_CD3neg, Tconv memCXCR3_total, Tconv memDR_total, Tconv memPD1_total, CD8 RO PD1_total, CD3neg_total, Bcells Ki67_total, Tconv memCCR6_CD3, Tconv memDR_CD3, Tconv memTIGIT_CD3, CD4 Treg _CD3, Treg memory_CD3, CD3hi_CD3, CD8 RA_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR6_Tconv, Tconv memCD56_Tconv, Tconv memDR_Tconv, Tconv memTIGIT_Tconv, Tconv memDR_mem, Tconv memKi67_mem, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CXCR3_CD8, CD27_CD8RO, Ki67_CD8RO, PD1_CD8RO, NKCD56hi_nonTnonB, NKCD16_NK, CD14+16+mono_myeloid, memory_Bcells, NKCD56hi_total, Bcells naive_CD3neg"
XGB_Importance_t50,RandomForest,10.6,0.7096073717948718,0.10916829456596117,0.6776666050994443,0.10658208113093914,0.6138594290164152,0.10633971540576902,0.6639822134387352,0.09143467719723956,0.6476785367410367,0.12343200206695919,0.605,0.14841038045110264,0.7128205128205128,0.14527400486374661,8,"Bcells CD27posIgDneg_total, CD27IgD_Bcells, Ki67_Bcells, naive_Bcells, CD8 RO DR_CD3, Tconv memPD1_total, Tconv mem_Tconv, CD16mono_myeloid"
