signature_method,classifier,n_features_mean,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,features_count,features
LogisticRegression_Permutation_Top10%_t80,RandomForest,15.825,0.7386574074074075,0.12307909044884753,0.6713351000851,0.14897985709075626,0.496098692973693,0.20185774375698098,0.6599999999999999,0.09876733141573561,0.5923214285714286,0.2538397707089214,0.4625,0.23108655770294634,0.7916666666666666,0.13824637709078472,16,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total"
XGBoost_Permutation_Top10%_t80,RandomForest,12.525,0.7358796296296296,0.11964658389087277,0.6760902639027639,0.13294618824475163,0.5291332972582973,0.16454033942101334,0.6749999999999999,0.09805806756909202,0.6372619047619047,0.17869942502681166,0.4875,0.21145103088313016,0.7999999999999999,0.13596640368601126,12,"CD3pos_total, CD4 Tconv mem_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total"
RFE (RandomForest)_t40,SVM_RBF,146.725,0.7337962962962964,0.10498190534664911,0.7143514471639472,0.10253652829189726,0.524805056055056,0.1630953123850416,0.6983333333333334,0.08403974097222137,0.7098809523809523,0.21521812472860727,0.4416666666666666,0.17520846354558817,0.8694444444444445,0.09708476240954478,151,"CD3pos_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memDR_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD8 RO TIGIT_total, CD3neg_total, NK_total, NKCD16_total, NKCD56hi_total, NK Ki67_total, myeloid_total, CD14mono_total, CD16+mono_total, Bcells_total, Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, Bcells Ki67_total, Bcells memory_total, Bcells naive_total, CD4 Tconv_CD3, Tconv mem_CD3, Tconv memCCR5_CD3, Tconv memCCR6_CD3, Tconv memCD27_CD3, Tconv memCD56_CD3, Tconv memCXCR3_CD3, Tconv memDR_CD3, Tconv memintB7_CD3, Tconv memKi67_CD3, Tconv memPD1_CD3, Tconv memTIGIT_CD3, Tconv naive_CD3, CD4 Treg _CD3, CD4neg_CD3, CD3hi_CD3, CD8pos_CD3, CD8 RA_CD3, CD8 RA naive_CD3, CD8 RO_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CCR5_CD3, CD8 RO CCR6_CD3, CD8 RO CD27_CD3, CD8 RO CD56_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD8 RO intB7_CD3, CD8  RO Ki67_CD3, CD8 RO PD1_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg naive_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR4_Tconv, Tconv memCCR5_Tconv, Tconv memCCR6_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memCXCR3_Tconv, Tconv memDR_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_Tconv, Tconv memTIGIT_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memCXCR3_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA_CD8, CD8 RA CCR7 naive_CD8, CD8 RO_CD8, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR5_CD8, CD8 RO CCR6_CD8, CD8 RO CD27_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CD8 RO PD1_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CCR6_CD8RO, CD27_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, intB7_CD8RO, Ki67_CD8RO, PD1_CD8RO, TIGIT_CD8RO, nonTnonB_CD3neg, NK_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, CD14+16+mono_CD3neg, Bcells_CD3neg, Bcells Ki67_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, naive_Bcells, CD4 Tconv_total, CD8pos_total, CD8 RO CCR4_total, Tconv memCCR4_CD3, Treg naive_CD3, Treg memory_CD3, Tconv memCXCR3_total, CD8 RO Ki67_total, CD3hi_total, CD8 RO_total, CD8 RO CXCR3_total"
RFE (RandomForest)_t50,SVM_RBF,133.25,0.7305555555555555,0.10878783483291003,0.7140212680837681,0.10654687560689649,0.5254868742368742,0.16700103257934348,0.6966666666666667,0.08666009179530974,0.6986309523809524,0.21290211813805202,0.4458333333333333,0.17858058584579017,0.8638888888888889,0.09577163669076881,136,"CD3pos_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCD27_total, Tconv memDR_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD3neg_total, NK_total, NKCD16_total, NKCD56hi_total, Bcells_total, Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, Bcells Ki67_total, Bcells memory_total, CD4 Tconv_CD3, Tconv mem_CD3, Tconv memCCR5_CD3, Tconv memCCR6_CD3, Tconv memCD27_CD3, Tconv memCXCR3_CD3, Tconv memKi67_CD3, Tconv memPD1_CD3, Tconv memTIGIT_CD3, Tconv naive_CD3, CD4 Treg _CD3, CD4neg_CD3, CD3hi_CD3, CD8pos_CD3, CD8 RA_CD3, CD8 RA naive_CD3, CD8 RO_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CCR5_CD3, CD8 RO CCR6_CD3, CD8 RO CD27_CD3, CD8 RO CD56_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD8 RO intB7_CD3, CD8  RO Ki67_CD3, CD8 RO PD1_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg naive_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR4_Tconv, Tconv memCCR5_Tconv, Tconv memCCR6_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memCXCR3_Tconv, Tconv memDR_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_Tconv, Tconv memTIGIT_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memCXCR3_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA_CD8, CD8 RA CCR7 naive_CD8, CD8 RO_CD8, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR5_CD8, CD8 RO CCR6_CD8, CD8 RO CD27_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CD8 RO PD1_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CCR6_CD8RO, CD27_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, intB7_CD8RO, Ki67_CD8RO, PD1_CD8RO, TIGIT_CD8RO, nonTnonB_CD3neg, NK_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, CD14+16+mono_CD3neg, Bcells_CD3neg, Bcells Ki67_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, naive_Bcells, CD4 Tconv_total, CD8 RO CCR4_total, Tconv memCCR4_CD3, Treg naive_CD3, Treg memory_CD3, Tconv memCXCR3_total, CD3hi_total"
XGBoost_Permutation_Top10%_t70,RandomForest,13.55,0.7261574074074074,0.13353708415165774,0.6666617757242757,0.13748683590987534,0.49482226107226107,0.19340525319924484,0.6566666666666666,0.10410382719961278,0.5946527777777778,0.2028828754718472,0.4625,0.2401551611448345,0.7861111111111111,0.12677982649640177,14,"CD4 Tconv mem_total, Tconv memCCR4_total, CD3pos_total, CD4 Tconv_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total"
All Features (Baseline)_t70,SVM_RBF,166.0,0.725462962962963,0.10821547391164596,0.70660468004218,0.10410540035267112,0.5097402597402597,0.1676610705838152,0.695,0.0825346340148535,0.7120833333333334,0.19359352885867448,0.425,0.18470736075427288,0.875,0.08416019034254374,166,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total, Treg naive_total, Treg memory_total, CD4neg_total, CD3hi_total, CD8pos_total, CD8 RA_total, CD8 RA naive_total, CD8 RO_total, CD8 RO CCR4_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD8 RO CD27_total, CD8 RO CD56_total, CD8 RO CXCR3_total, CD8 RO DR_total, CD8 RO intB7_total, CD8 RO Ki67_total, CD8 RO PD1_total, CD8 RO TIGIT_total, CD3neg_total, nonTnonB_total, NK_total, NKCD16_total, NKCD56hi_total, NK Ki67_total, myeloid_total, CD14mono_total, CD16+mono_total, CD14+16+mono_total, Bcells_total, Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, Bcells Ki67_total, Bcells memory_total, Bcells naive_total, CD4 Tconv_CD3, Tconv mem_CD3, Tconv memCCR4_CD3, Tconv memCCR5_CD3, Tconv memCCR6_CD3, Tconv memCD27_CD3, Tconv memCD56_CD3, Tconv memCXCR3_CD3, Tconv memDR_CD3, Tconv memintB7_CD3, Tconv memKi67_CD3, Tconv memPD1_CD3, Tconv memTIGIT_CD3, Tconv naive_CD3, CD4 Treg _CD3, Treg naive_CD3, Treg memory_CD3, CD4neg_CD3, CD3hi_CD3, CD8pos_CD3, CD8 RA_CD3, CD8 RA naive_CD3, CD8 RO_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CCR5_CD3, CD8 RO CCR6_CD3, CD8 RO CD27_CD3, CD8 RO CD56_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD8 RO intB7_CD3, CD8  RO Ki67_CD3, CD8 RO PD1_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg naive_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR4_Tconv, Tconv memCCR5_Tconv, Tconv memCCR6_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memCXCR3_Tconv, Tconv memDR_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_Tconv, Tconv memTIGIT_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memCXCR3_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA_CD8, CD8 RA CCR7 naive_CD8, CD8 RO_CD8, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR5_CD8, CD8 RO CCR6_CD8, CD8 RO CD27_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CD8 RO PD1_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CCR6_CD8RO, CD27_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, intB7_CD8RO, Ki67_CD8RO, PD1_CD8RO, TIGIT_CD8RO, nonTnonB_CD3neg, NK_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, CD14+16+mono_CD3neg, Bcells_CD3neg, Bcells Ki67_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, naive_Bcells"
RFE (RandomForest)_t60,SVM_RBF,114.1,0.7240740740740741,0.10665321219355733,0.7071811059311058,0.10672797079126305,0.5390105727605727,0.17727096196194786,0.7033333333333334,0.09051923659494812,0.6948214285714285,0.20094324312736694,0.4666666666666666,0.19684115104936456,0.861111111111111,0.08984528222918219,141,"CD3pos_total, CD4 Tconv mem_total, Tconv memCD27_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv naive_total, Treg memory_total, CD3hi_total, CD8 RO intB7_total, CD3neg_total, NKCD56hi_total, myeloid_total, Bcells CD27posIgDneg_total, Tconv mem_CD3, Tconv memCCR6_CD3, Tconv memCD27_CD3, Tconv memCD56_CD3, Tconv memPD1_CD3, Tconv naive_CD3, CD4 Treg _CD3, Treg naive_CD3, Treg memory_CD3, CD4neg_CD3, CD3hi_CD3, CD8pos_CD3, CD8 RA_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CCR5_CD3, CD8 RO CD27_CD3, CD8 RO CD56_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD8 RO PD1_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg naive_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR4_Tconv, Tconv memCCR5_Tconv, Tconv memCCR6_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memCXCR3_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_Tconv, Tconv memTIGIT_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memCXCR3_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA_CD8, CD8 RO_CD8, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR5_CD8, CD8 RO CCR6_CD8, CD8 RO CD27_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CD8 RO PD1_CD8, CCR6_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, intB7_CD8RO, PD1_CD8RO, nonTnonB_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, CD14+16+mono_CD3neg, Bcells Ki67_CD3neg, Bcells memory_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, naive_Bcells, Tconv memTIGIT_total, CD8 RO CCR5_total, CD8 RO CD56_total, nonTnonB_total, NK_total, NK Ki67_total, CD16+mono_total, Bcells_total, Bcells CD27negIgDneg_total, Bcells Ki67_total, Bcells memory_total, Bcells naive_total, CD4 Tconv_CD3, Tconv memCCR4_CD3, Tconv memCXCR3_CD3, Tconv memKi67_CD3, CD8 RO_CD3, CD8 RO intB7_CD3, Tconv memDR_Tconv, CD8 RA CCR7 naive_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CD27_CD8RO, TIGIT_CD8RO, NK Ki67_CD3neg, NKCD56hi_NK, Tconv memCXCR3_total, CD8pos_total, CD8 RO CXCR3_total, CD14mono_total, Tconv memCCR5_CD3, CD8 RA naive_CD3, CD8 RO CCR6_CD3, Ki67_CD8RO, NK_CD3neg, Bcells_CD3neg, Bcells naive_CD3neg, NK Ki67_NK"
RF_Importance_t50,SVM_RBF,38.075,0.7236111111111111,0.11502962932997277,0.6933286273911274,0.12084198363273213,0.5590516428016428,0.15507943805097224,0.6933333333333334,0.09876733141573563,0.677172619047619,0.18768112702326595,0.5083333333333334,0.18470736075427294,0.8166666666666668,0.12718492467621292,45,"CD3pos_total, CD4 Tconv_total, Tconv memCD27_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD8 RO CCR5_total, nonTnonB_total, NKCD56hi_total, Bcells CD27posIgDneg_total, Tconv memCD27_CD3, Tconv memCXCR3_CD3, CD8pos_CD3, CD8 RO CCR5_CD3, CD8 RO CXCR3_CD3, Treg memory_CD4, Tconv memCD27_Tconv, Tconv memCXCR3_Tconv, Tconv memPD1_mem, NKCD56hi_CD3neg, Bcells_CD3neg, CD27IgD_Bcells, Tconv memCXCR3_total, CD3hi_total, CD8 RO CD56_total, CD8 RO CXCR3_total, CD3neg_total, Bcells Ki67_total, CD4 Treg _CD3, Treg memory_CD3, CD8 RO_CD3, CD8 RO CD56_CD3, CD4 Treg_CD4, Tconv memCXCR3_mem, CD8 RO CCR5_CD8, CD16mono_CD3neg, CD4neg_CD3, Tconv memCCR5_Tconv, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CXCR3_CD8RO, Bcells memory_total, Treg naive_CD4, Tconv memCD27_mem"
XGBoost_Permutation_Top10%_t40,RandomForest,15.95,0.7236111111111111,0.13149101125128684,0.6610320119695119,0.13864588405797848,0.5099444999445,0.1780520992783219,0.6633333333333333,0.11191164606159863,0.6271329365079366,0.21387563996402562,0.4666666666666666,0.22072142786315224,0.7944444444444445,0.13677884354601544,16,"CD3pos_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, CD4 Tconv_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total, Tconv memCCR6_total"
RandomForest_Permutation_Top10%_t60,RandomForest,13.825,0.7219907407407408,0.11098218818374536,0.6572813182188182,0.13534274557533005,0.47881042568542564,0.18860770070719113,0.6449999999999999,0.11235627095953132,0.5845535714285715,0.22782193707413256,0.4375,0.2190613880579865,0.7833333333333333,0.14875232926105322,14,"CD4 Tconv mem_total, Tconv memCCR4_total, CD3pos_total, CD4 Tconv_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total"
