signature_method,classifier,n_features_mean,roc_auc_mean,roc_auc_std,auprc_mean,auprc_std,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,features_count,features
Ridge_Strict_t40,XGBoost,90.8,0.7973958333333332,0.20881288290635666,0.8642113095238095,0.1416825174731502,0.6969534632034632,0.22951389018219456,0.6875,0.20524264207162732,0.7267261904761904,0.2479572262773223,0.71875,0.284128785353872,0.65625,0.32422793457882926,92,"CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memDR_total, CD4 Treg_total, Treg memory_total, CD8 RO DR_total, NK_total, NKCD16_total, NKCD56hi_total, NK Ki67_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Tconv mem_CD3, Tconv memCCR6_CD3, Tconv memDR_CD3, Tconv memKi67_CD3, Tconv naive_CD3, CD8 RA_CD3, CD8 RO DR_CD3, Tconv mem_Tconv, Tconv memCCR6_Tconv, Tconv memDR_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, CD3hi_CD4neg, CD8 RO CCR6_CD8, CD8 RO CD56_CD8, CD8 RO DR_CD8, CD8 RO Ki67_CD8, CCR5_CD8RO, CCR6_CD8RO, CD56_CD8RO, DR_CD8RO, intB7_CD8RO, NK_CD3neg, NKCD16_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD14+16+mono_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD16_NK, NK Ki67_NK, CD14+16+mono_myeloid, CD27negIgDneg_Bcells, memory_Bcells, naive_Bcells, Tconv memCCR5_total, CD8 RO CCR6_total, Bcells_total, CD8 RO CD56_CD3, Treg naive_CD4, CD8 RO CD27_CD8, CCR4_CD8RO, nonTnonB_CD3neg, NKCD56hi_CD3neg, Bcells_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NKCD56hi_NK, Bcells Ki67_total, Tconv memCXCR3_CD3, Tconv memTIGIT_CD3, Tconv memCXCR3_Tconv, Tconv memTIGIT_Tconv, Tconv memCXCR3_mem, Tconv memTIGIT_mem, CD8 RO TIGIT_CD8, CXCR3_CD8RO, Bcells Ki67_CD3neg, NK Ki67_nonTnonB, CD27IgD_Bcells, Tconv memintB7_CD3, Tconv memCCR5_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_mem, CD8 RO_CD8, CD27_CD8RO, CD14mono_myeloid, Tconv memCCR5_CD3, CD8 RO CCR5_CD8, CD8 RO CD56_total"
RF_Importance_t40,XGBoost,52.1,0.7671875,0.1981421623643243,0.8448214285714286,0.14002860910164014,0.6571049783549784,0.22065824526802028,0.6464285714285715,0.17903785239514822,0.6799404761904763,0.22985173043421644,0.6875,0.28728392102944306,0.6041666666666667,0.30238251468162836,49,"CD3pos_total, Tconv memCXCR3_total, Tconv memDR_total, CD4neg_total, CD8pos_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD8 RO TIGIT_total, CD3neg_total, nonTnonB_total, NK_total, CD14mono_total, CD14+16+mono_total, Treg memory_CD3, CD8 RO TIGIT_CD3, Treg memory_CD4, Tconv naive_Tconv, Tconv memCCR5_mem, CD3hi_CD4neg, CCR5_CD8RO, NK Ki67_CD3neg, Bcells naive_CD3neg, CD8 RA naive_total, CD8 RO_total, CD8 RO CCR4_total, CD8 RO intB7_total, NK Ki67_total, myeloid_total, Bcells_total, Bcells CD27posIgDneg_total, CD4 Tconv_CD3, Tconv memDR_CD3, CD8 RA naive_CD3, CD8 RO CCR5_CD3, CD8 RO CCR6_CD3, CD8 RO DR_CD3, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CD56_CD8, CD56_CD8RO, nonTnonB_CD3neg, CD14mono_CD3neg, Bcells_CD3neg, CD16mono_myeloid, Bcells naive_total, Tconv memCXCR3_mem, CD8 RO CCR5_CD8, CD8 RO intB7_CD3, Tconv memintB7_mem, CD8 RA_total"
Ridge_Strict_t70,XGBoost,34.925,0.7645833333333333,0.21496910597622282,0.8358928571428571,0.15347220199716835,0.6853318903318903,0.23090627813074127,0.6709821428571429,0.2088319843425772,0.6994047619047619,0.2430950915989652,0.7125,0.2805100665500214,0.6270833333333333,0.30134285165740077,30,"CD4 Tconv mem_total, CD8 RO DR_total, NKCD56hi_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Tconv mem_CD3, CD8 RO DR_CD3, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memintB7_mem, Tconv memKi67_mem, CD8 RO DR_CD8, CCR5_CD8RO, CCR6_CD8RO, DR_CD8RO, NK_CD3neg, NKCD16_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD14+16+mono_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD16_NK, CD14+16+mono_myeloid, CD27negIgDneg_Bcells, NKCD56hi_NK, Tconv memCXCR3_Tconv, Tconv memCXCR3_mem, CD8 RO TIGIT_CD8"
Ridge_Strict_t50,XGBoost,68.7,0.7625,0.21479301638097983,0.8391666666666666,0.15380658704673938,0.6770003607503607,0.22647739855683918,0.6633928571428571,0.19883022308948597,0.7110119047619048,0.25274968312522633,0.7125,0.29715531637728115,0.6125,0.3399712992746363,71,"CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR6_total, Tconv memDR_total, CD4 Treg_total, Treg memory_total, CD8 RO DR_total, NK_total, NKCD16_total, NKCD56hi_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Tconv mem_CD3, Tconv memCCR6_CD3, Tconv memDR_CD3, Tconv memKi67_CD3, CD8 RO DR_CD3, Tconv mem_Tconv, Tconv memCCR6_Tconv, Tconv memDR_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, CD3hi_CD4neg, CD8 RO CD56_CD8, CD8 RO DR_CD8, CD8 RO Ki67_CD8, CCR5_CD8RO, CCR6_CD8RO, CD56_CD8RO, DR_CD8RO, NK_CD3neg, NKCD16_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD14+16+mono_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD16_NK, CD14+16+mono_myeloid, CD27negIgDneg_Bcells, memory_Bcells, Tconv memCCR5_total, CD8 RO CCR6_total, CD8 RO CD56_CD3, Treg naive_CD4, NKCD56hi_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NKCD56hi_NK, Tconv memTIGIT_CD3, Tconv memCXCR3_Tconv, Tconv memTIGIT_Tconv, Tconv memCXCR3_mem, Tconv memTIGIT_mem, CD8 RO TIGIT_CD8, CXCR3_CD8RO, NK Ki67_nonTnonB, Tconv memintB7_CD3, Tconv memCCR5_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_mem, CD27_CD8RO, CD14mono_myeloid, Tconv memCCR5_CD3"
RF_Importance_t50,XGBoost,31.5,0.7622395833333334,0.2062784273662373,0.8422172619047619,0.13587480783605813,0.6813383838383839,0.21220373418502753,0.6763392857142858,0.17445753461542468,0.7329761904761904,0.24254483857805728,0.7,0.28419928002940253,0.6583333333333334,0.31169054709919763,34,"CD14+16+mono_total, CD3hi_CD3, CD8 RO DR_CD3, Tconv mem_Tconv, Tconv memCCR6_mem, CD8 RO DR_CD8, NKCD16_CD3neg, NKCD56hi_CD3neg, NK Ki67_CD3neg, NK_nonTnonB, NKCD16_total, NKCD56hi_total, NK Ki67_total, Tconv memCXCR3_CD3, Tconv memDR_CD3, CD8 RO CCR5_CD3, CD8 RO CD27_CD3, Tconv memCCR5_Tconv, Tconv memCXCR3_Tconv, Tconv memDR_Tconv, Tconv naive_Tconv, Tconv memCCR5_mem, Tconv memCXCR3_mem, CCR5_CD8RO, CCR6_CD8RO, CXCR3_CD8RO, CD8 RO CCR5_total, Bcells CD27posIgDneg_total, CD8 RO CXCR3_CD8, CD8 RO CXCR3_total, Tconv memCCR5_CD3, CD8 RO CCR6_CD8, CCR4_CD8RO, NKCD16_NK"
All Features (Baseline)_t40,XGBoost,166.0,0.7546875,0.20420522813059644,0.8347767857142856,0.14628312606291807,0.6479184704184704,0.21240666383288642,0.6370535714285714,0.17813075203928905,0.6895238095238095,0.24364759198160527,0.66875,0.27958015684694815,0.6083333333333333,0.32914029430219166,166,"CD3pos_total, CD4 Tconv_total, CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memCCR5_total, Tconv memCCR6_total, Tconv memCD27_total, Tconv memCD56_total, Tconv memCXCR3_total, Tconv memDR_total, Tconv memintB7_total, Tconv memKi67_total, Tconv memPD1_total, Tconv memTIGIT_total, Tconv naive_total, CD4 Treg_total, Treg naive_total, Treg memory_total, CD4neg_total, CD3hi_total, CD8pos_total, CD8 RA_total, CD8 RA naive_total, CD8 RO_total, CD8 RO CCR4_total, CD8 RO CCR5_total, CD8 RO CCR6_total, CD8 RO CD27_total, CD8 RO CD56_total, CD8 RO CXCR3_total, CD8 RO DR_total, CD8 RO intB7_total, CD8 RO Ki67_total, CD8 RO PD1_total, CD8 RO TIGIT_total, CD3neg_total, nonTnonB_total, NK_total, NKCD16_total, NKCD56hi_total, NK Ki67_total, myeloid_total, CD14mono_total, CD16+mono_total, CD14+16+mono_total, Bcells_total, Bcells CD27posIgDneg_total, Bcells CD27negIgDneg_total, Bcells Ki67_total, Bcells memory_total, Bcells naive_total, CD4 Tconv_CD3, Tconv mem_CD3, Tconv memCCR4_CD3, Tconv memCCR5_CD3, Tconv memCCR6_CD3, Tconv memCD27_CD3, Tconv memCD56_CD3, Tconv memCXCR3_CD3, Tconv memDR_CD3, Tconv memintB7_CD3, Tconv memKi67_CD3, Tconv memPD1_CD3, Tconv memTIGIT_CD3, Tconv naive_CD3, CD4 Treg _CD3, Treg naive_CD3, Treg memory_CD3, CD4neg_CD3, CD3hi_CD3, CD8pos_CD3, CD8 RA_CD3, CD8 RA naive_CD3, CD8 RO_CD3, CD8 ncytotox RO CCR4_CD3, CD8 RO CCR5_CD3, CD8 RO CCR6_CD3, CD8 RO CD27_CD3, CD8 RO CD56_CD3, CD8 RO CXCR3_CD3, CD8 RO DR_CD3, CD8 RO intB7_CD3, CD8  RO Ki67_CD3, CD8 RO PD1_CD3, CD8 RO TIGIT_CD3, CD4 Treg_CD4, Treg naive_CD4, Treg memory_CD4, Tconv mem_Tconv, Tconv memCCR4_Tconv, Tconv memCCR5_Tconv, Tconv memCCR6_Tconv, Tconv memCD27_Tconv, Tconv memCD56_Tconv, Tconv memCXCR3_Tconv, Tconv memDR_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_Tconv, Tconv memTIGIT_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memCD27_mem, Tconv memCD56_mem, Tconv memCXCR3_mem, Tconv memDR_mem, Tconv memintB7_mem, Tconv memKi67_mem, Tconv memPD1_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA_CD8, CD8 RA CCR7 naive_CD8, CD8 RO_CD8, CD8 ncytotox RO CCR4_CD8ntox, CD8 RO CCR5_CD8, CD8 RO CCR6_CD8, CD8 RO CD27_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO Ki67_CD8, CD8 RO PD1_CD8, CD8 RO TIGIT_CD8, CCR4_CD8RO, CCR5_CD8RO, CCR6_CD8RO, CD27_CD8RO, CD56_CD8RO, CXCR3_CD8RO, DR_CD8RO, intB7_CD8RO, Ki67_CD8RO, PD1_CD8RO, TIGIT_CD8RO, nonTnonB_CD3neg, NK_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, CD14+16+mono_CD3neg, Bcells_CD3neg, Bcells Ki67_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD56hi_nonTnonB, NK Ki67_nonTnonB, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD14mono_myeloid, CD16mono_myeloid, CD14+16+mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, naive_Bcells"
Ridge_Strict_t60,XGBoost,50.15,0.75390625,0.23107316306898368,0.8285267857142857,0.1691696422133843,0.6688834776334776,0.2272486559983243,0.6504464285714286,0.20615240583029343,0.6798214285714286,0.23950012111081226,0.7,0.2785033259480083,0.5979166666666667,0.30305160909946965,50,"CD4 Tconv mem_total, Tconv memCCR4_total, Tconv memDR_total, CD8 RO DR_total, NK_total, NKCD16_total, NKCD56hi_total, CD14+16+mono_total, Bcells CD27posIgDneg_total, Tconv mem_CD3, Tconv memCCR6_CD3, Tconv memKi67_CD3, CD8 RO DR_CD3, Tconv mem_Tconv, Tconv naive_Tconv, Tconv memCCR4_mem, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memintB7_mem, Tconv memKi67_mem, CD3hi_CD4neg, CD8 RO CD56_CD8, CD8 RO DR_CD8, CCR5_CD8RO, CCR6_CD8RO, CD56_CD8RO, DR_CD8RO, NK_CD3neg, NKCD16_CD3neg, NK Ki67_CD3neg, myeloid_CD3neg, CD14mono_CD3neg, CD14+16+mono_CD3neg, NK_nonTnonB, NKCD16_nonTnonB, NKCD16_NK, CD14+16+mono_myeloid, CD27negIgDneg_Bcells, memory_Bcells, CD8 RO CCR6_total, CD8 RO CD56_CD3, NKCD56hi_NK, Tconv memCXCR3_Tconv, Tconv memCXCR3_mem, CD8 RO TIGIT_CD8, NK Ki67_nonTnonB, Tconv memCCR5_Tconv, Tconv memintB7_Tconv, Tconv memKi67_Tconv, Tconv memPD1_mem"
RFE (RandomForest)_t40,XGBoost,68.4,0.7390625,0.21945412216299442,0.8182142857142857,0.15594829147673425,0.6756962481962482,0.21281822088957808,0.6642857142857143,0.1777545418052417,0.6986904761904762,0.22780826885978717,0.7,0.2726884199209317,0.6291666666666667,0.29232221811261494,65,"Bcells CD27posIgDneg_total, CD8 RA naive_CD3, CD8 ncytotox RO CCR4_CD3, Tconv mem_Tconv, Tconv naive_Tconv, Tconv memCCR5_mem, Tconv memCCR6_mem, Tconv memDR_mem, CD8 RO Ki67_CD8, CCR4_CD8RO, CCR5_CD8RO, DR_CD8RO, Ki67_CD8RO, NK Ki67_CD3neg, myeloid_CD3neg, CD14+16+mono_CD3neg, Bcells_CD3neg, Bcells memory_CD3neg, Bcells naive_CD3neg, NKCD16_nonTnonB, NK Ki67_nonTnonB, CD14mono_myeloid, CD27IgD_Bcells, CD27negIgDneg_Bcells, Ki67_Bcells, memory_Bcells, nonTnonB_total, Bcells_total, Bcells naive_total, CD3hi_CD3, CD8 RA_CD3, CD8 RO DR_CD3, CD8  RO Ki67_CD3, Tconv memCCR4_Tconv, Tconv memCD27_Tconv, Tconv memDR_Tconv, Tconv memCCR4_mem, Tconv memTIGIT_mem, CD3hi_CD4neg, CD8 RA CCR7 naive_CD8, CD8 RO CCR5_CD8, CD8 RO CD56_CD8, CD8 RO CXCR3_CD8, CD8 RO DR_CD8, CD8 RO intB7_CD8, CD8 RO TIGIT_CD8, CD27_CD8RO, CD56_CD8RO, CXCR3_CD8RO, PD1_CD8RO, nonTnonB_CD3neg, NK_CD3neg, NKCD16_CD3neg, NKCD56hi_CD3neg, CD14mono_CD3neg, CD16mono_CD3neg, Bcells Ki67_CD3neg, NK_nonTnonB, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD16mono_myeloid, CD14+16+mono_myeloid, naive_Bcells, Tconv memDR_CD3"
RF_Importance_t60,XGBoost,18.65,0.73046875,0.2093749003380296,0.8169940476190476,0.14989706080318055,0.6752074314574315,0.21496659722792097,0.6558035714285715,0.18945701610065677,0.6900595238095237,0.23507911826138236,0.70625,0.2708456604689686,0.6020833333333333,0.31093983762310456,15,"Bcells CD27posIgDneg_total, Tconv memDR_CD3, CD8 RO CCR5_CD3, Treg memory_CD4, Tconv memCD27_Tconv, CD8 RA CCR7 naive_CD8, CD8 RO DR_CD8, CCR5_CD8RO, DR_CD8RO, Tconv memCD27_CD3, CD8pos_CD3, Tconv memDR_Tconv, CD27negIgDneg_Bcells, NK Ki67_CD3neg, CD14+16+mono_CD3neg"
Ridge_Strict_t80,XGBoost,23.2,0.73046875,0.22547269884156454,0.810610119047619,0.15939356296850424,0.6418055555555555,0.2299957591444636,0.6272321428571429,0.18580528817857409,0.6370833333333333,0.23365324528313114,0.675,0.2726884199209317,0.575,0.2720346466956902,18,"CD3hi_total, Bcells CD27posIgDneg_total, Bcells Ki67_total, Tconv memCD27_CD3, CD4 Treg _CD3, Treg memory_CD3, Tconv memCXCR3_Tconv, Tconv memCCR5_mem, Tconv memCXCR3_mem, CD8 RO DR_CD8, NKCD16_NK, NKCD56hi_NK, NK Ki67_NK, CD27IgD_Bcells, NKCD56hi_total, NK Ki67_CD3neg, Bcells Ki67_CD3neg, NK Ki67_nonTnonB"
